"",Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,channel
0,group,39.779800,1,27,39.779800,3.008262,0.094246,0.100248,NaN,ROI_ALL
1,block,16.682120,1,27,16.682120,20.477252,0.000109,0.431307,1.0,ROI_ALL
2,Interaction,7.386393,1,27,7.386393,9.066775,0.005591,0.251389,NaN,ROI_ALL
0,group,57.789550,1,27,57.789550,3.643971,0.066955,0.118913,NaN,ROI_LEFT
1,block,11.088609,1,27,11.088609,10.356099,0.003344,0.277226,1.0,ROI_LEFT
2,Interaction,4.994507,1,27,4.994507,4.664571,0.039835,0.147312,NaN,ROI_LEFT
0,group,40.648650,1,27,40.648650,2.935657,0.098105,0.098066,NaN,ROI_RIGHT
1,block,25.372106,1,27,25.372106,23.193344,0.000050,0.462080,1.0,ROI_RIGHT
2,Interaction,12.256174,1,27,12.256174,11.203708,0.002414,0.293262,NaN,ROI_RIGHT
0,group,23.397740,1,27,23.397740,1.359608,0.253802,0.047942,NaN,O1_dB
1,block,9.934647,1,27,9.934647,9.630014,0.004454,0.262900,1.0,O1_dB
2,Interaction,3.472104,1,27,3.472104,3.365637,0.077612,0.110837,NaN,O1_dB
0,group,40.576375,1,27,40.576375,3.196719,0.085016,0.105863,NaN,O2_dB
1,block,22.487249,1,27,22.487249,24.720711,0.000033,0.477965,1.0,O2_dB
2,Interaction,13.348155,1,27,13.348155,14.673911,0.000692,0.352113,NaN,O2_dB
0,group,12.819754,1,27,12.819754,0.963243,0.335084,0.034447,NaN,Oz_dB
1,block,13.599990,1,27,13.599990,21.627359,0.000078,0.444757,1.0,Oz_dB
2,Interaction,4.483878,1,27,4.483878,7.130479,0.012676,0.208918,NaN,Oz_dB
0,group,107.469850,1,27,107.469850,6.659995,0.015616,0.197861,NaN,PO7_dB
1,block,12.305961,1,27,12.305961,9.702623,0.004327,0.264358,1.0,PO7_dB
2,Interaction,6.792907,1,27,6.792907,5.355861,0.028499,0.165530,NaN,PO7_dB
0,group,40.720990,1,27,40.720990,2.592885,0.118976,0.087619,NaN,PO8_dB
1,block,28.431014,1,27,28.431014,20.731574,0.000101,0.434337,1.0,PO8_dB
2,Interaction,11.210786,1,27,11.210786,8.174778,0.008091,0.232405,NaN,PO8_dB
